x,new_name
ACANTHOLEBERIS CURVIROSTRIS,Acantholeberis curvirostris
ACROPERUS HARPAE,
ASCOMORPHA,
ASCOMORPHA ECAUDIS,
ASCOMORPHA OVALIS,
ASPLANCHNA,Asplanchna sp.
BOSMINIDAE,Bosmina longirostris
BRACHIONUS,
BRACHIONUS URCEOLARIS,
CALANOID,
CEPHALODELLA,
CHYDORUS,
CLADOCERAN,
COLLOTHECA,
COLLOTHECA MUTABILIS,
COLURELLA,
CONOCHILOIDES,Conochiloides sp.
CONOCHILUS,Conochilus unicornis
COPEPOD NAUPLII,Nauplii sp.
CYCLOPOID,
DAPHNIA,
DAPHNIA DUBIA,
DAPHNIA LONGIREMIS,
DAPHNIA PARVULA,Daphnia parvula
DAPHNIA PULICARIA,
DIACYCLOPS THOMASI,Diacyclops thomasi
DIAPHANOSOMA BIRGEI,Diaphanosoma birgei
DISPARALONA ACUTIROSTRIS,Disparalona acutirostris
ENCENTRUM,
EPISCHURA LACUSTRIS,Epischura lacustris
EUCHLANIS,
EUCYCLOPS AGILIS,
FILINIA,
GASTROPUS,
GASTROPUS HYPTOPUS,
GASTROPUS STYLIFER,
HARPACTICOID,
HOLOPEDIUM GIBBERUM,Holopedium gibberum
KELLICOTTIA BOSTONIENSIS,Kellicottia bostoniensis
KELLICOTTIA LONGISPINA,Kellicottia longispina
KERATELLA,
KERATELLA COCHLEARIS,
KERATELLA COCHLEARIS F. TECTA,
KERATELLA CRASSA,Keratella crassa
KERATELLA EARLINAE,
KERATELLA HIEMALIS,Keratella hiemalis
KERATELLA QUADRATA,
KERATELLA SERRULATA,
KERATELLA TAUROCEPHALA,Keratella taurocephala
KERATELLA TESTUDO,
KERATELLA TICINENSIS,
LECANE,
LECANE INERMIS,
LECANE MIRA,
LEPADELLA,
LEPTODIAPTOMUS MINUTUS,
MANFREDIUM EUDACTYLOTUM,
MESOCYCLOPS EDAX,Mesocyclops edax
MONOMMATA,
MONOSTYLA,
MONOSTYLA LUNARIS,
NOTHOLCA,
NOTOMMATA,
ORTHOCYCLOPS MODESTUS,
PLOESOMA,
PLOESOMA LENTICULARE,
POLYARTHRA DOLICHOPTERA,
POLYARTHRA MAJOR,
POLYARTHRA REMATA,Polyarthra remata
POLYARTHRA VULGARIS,Polyarthra vulgaris
POLYPHEMUS PEDICULUS,Polyphemus pediculuc
SIDA CRYSTALLINA,Sida crystallina
SYNCHAETA,Synchaeta sp.
TRICHOCERCA,
TRICHOCERCA BIROSTRIS,
TRICHOCERCA CYLINDRICA,Trichocerca cylindrica
TRICHOCERCA MULTICRINIS,
TRICHOCERCA ROUSSELETI,
TRICHOCERCA SIMILIS,
TROPOCYCLOPS PRASINUS MEXICANUS,Tropocyclops prasinus
UNKNOWN,
UNKNOWN ROTIFER,
